artist,artist_ids
Mannequin Pussy,33yje3hgpNfdXpqdJQcrt9
The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp
Incantation,66AXpP038gUcoKVQoO98Fz
Jim White,3Rdkj77BOQHj5dTLveCJvI
Pig Destroyer,4raqfuxaWjPjrOQGb6zoa7
Pharoahe Monch,5DKuVtlpDH0agZQUFDy8O7
Duran Duran,0lZoBs4Pzo7R89JM9lxwoT
Meat Puppets,2h9yQhKyqOMex3QFMVeq7F
Aaliyah,0urTpYCsixqZwgNTkPJOJ4
The Jacksons,2yrbLiuBmc9j81lTX3XUuI
Bongzilla,1qPFzP54oMjiPXpmneoIwF
Smog,2ajVJyxI4sHmTMtTA3ENko
Animal Collective,4kwxTgCKMipBKhSnEstNKj
Boosie Badazz,6z7xFFHxYkE9t8bwIF0Bvg
Blake Lewis,4H6tLRh1nuIuVxHtXo68ZE
Mission of Burma,5UMQV83wwZCCvRSQCVjZw6
Nada Surf,11zHPjHnZN0ACA50rSnTcy
Bloodhound Gang,6nDLku5uL3ou60kvCGZorh
Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ
The Alan Parsons Project,2m62cc253Xvd9qYQ8d2X3d
Marianas Trench,68EB3QvNdVLkC7SAgDbHIR
The Dirtbombs,4wPKtZH8mW0PdLeWPneweb
Brilliant Colors,3AUmPt9278jXfnEGXexirg
Monade,6YCiyXrKSNIF1TjCY2uE57
Bullet For My Valentine,7iWiAD5LLKyiox2grgfmUT
Heat,2k9nSWlC3aJHH0JEywzbAz
Susumu Yokota,3ND5NWoKzlelYDDyWqSQpQ
Rodrigo y Gabriela,7vX3cMVyW8gtDA4y855ynF
Juliana Hatfield,4L1danWWAgSc0b7nBgY9CB
Jim Guthrie,4wEVY6Zz9STrspLNOmyz50
Genghis Tron,5xIZimpMAfvZjQcgFKBCKl
Alan Jackson,4mxWe1mtYIYfP040G38yvS
Shakira,0EmeFodog0BfCgMzAIvKQp
Sunwatchers,2hI2HclB5dgv3Qks0jjXaV
Sam Prekop,4Vtlz5IfA9y4EBwmp20wwk
Sally Shapiro,0Guuvi7P0R6ZuX2DeL1m9M
Joy Williams,4TCXgdDPm10ensLNCVnIYa
Sage Francis,2E78kTKamtXgdRkK1jrc0f
Woods,2sBPVEeMBXKNsZtYaJixnJ
Coconut Records,2YKp8Odp8GGbAkVU60Yk2Y
