Label,label_id
Tonequake,9998
"eOne, LilyDog",13723
"The Phantom Entertainment LLC, EMPIRE",27193
"Avex, Thrill Jockey",9824
Artemisia,8765
Lobster Records,9745
E1 Music / Roadrunner Records,30206
300,13993
Endless Flight,31460
No Rest Until Ruin,13831
RVNG Intl.,2423
"Proper, Scarlet Letter",11580
Ace Fu Records,15646
Banjodad,9131
ATO / Prawn Song,9254
Boner,4650
Mom + Pop,1267
RVNG INTL,28062
"Columbia, Mad Decent",10920
Infinite Best,1653
Bludgeon Riffola,14946
Loud/RCA/BMG,1219
Daft Life Limited,4196
Caroline International,22040
Warner Bros. / Machine Shop,8362
Death Row / Interscope,3937
"Fire, GBV Inc.",7817
Guided by Voices Inc.,2344
Tokoloshe,8966
"ESGN, EMPIRE",15188
CBS / Columbia,13647
"Davido Worldwide, Sony, RCA",27246
"Helium 3, Atco",1933
Peaceville,2943
Third Worlds,6894
IGC / iHipHop,12053
Revox,11856
Goofin',20745
Up,2852
LAUREN RECORDS,27007
Ode / A&M,18945
The Null Corporation,521
AKAI Music,13030
RCA Nashville,4737
Rise,5353
Jive Records / BMG,8253
Partisan,1354
Atco,508
XL,132
Family Productions/Columbia,9588
Signature Sound,32057
Birdman Records,4642
Zomba,11033
Arbutus,1652
Sussex,5626
Dirty Hit,7891
Ostgut Ton,11515
"Merge, Dead Oceans",13427
J Records,12655
"Earstorm, Big Beat",6958
Hypnotized Minds,14529
Gypsy Boy,31117
Atco / Albert / EMI,5284
Elektra Records,274
Windham Hill,24583
Membran,14964
Island,22
Private Music,15940
Pole,31528
Italians Do It Better,2517
Steel Wool,15668
Third Man,100
Alive Naturalsound,8937
High Beam,15332
Dine Alone,5504
"Columbia, RCA",15154
Ribbon Music,2377
Jazz Rock,19090
Cotillion,3885
Scat Records,8527
HUB,12911
Serjical Strike,24048
Mass Appeal,9972
Righteous Babe Records,30651
Ba Da Bing!,918
AGAINST GIANTS,24910
"Music for Nations, Kosh",24531
Prosthetic,1749
Scatt,2614
Tommy Boy,4767
EastWest / Albert / Epic,5285
International Anthem,17370
Albert,3787
Albert Productions,5274
ATCO,5276
eOne / Good Fight Music,10404
"Jive, BMG",3267
East West,4757
KScope,14851
earMUSIC,18161
Gilla House,15194
"Cleveland International, Epic",10275
Asphodel Records,17792
Rough Trade / Sire,3808
Escapi Music,5260
"Volt, Atco",4801
Internal Affairs,15784
Kirtland,1599
Red Bull,5473
"Mom+Pop, Marathon Artists, Milk!",22378
Mule Musiq,8855
The Flenser,8028
Tri Angle,2099
J & R Adventures,30468
"Demigodz, Dirty Version",9098
Bayonet,12830
Woodist,15741
"V2 Records, Yep Roc Records",569
"Blood Money, eOne",8946
Ruthless,4369
Dark Descent Records,10913
Mad Science,165
Innervisions,11203
V2 / XL,340
POW,15974
Normative,12279
XL Recordings,69
Loud / RCA / BMG,6780
Tolotta Records,8520
"Frenchkiss, Columbia",6172
RCA / Hydra Head Records,7119
Cantora,1640
Vendlus Records,7437
"Young God, Mute",16657
Failure,12880
Dolly Records,8688
Fortuna,1632
Open Wide; Columbia Nashvile,8797
Water Music,12352
Neue Meister,15757
Universal,55
E1 Entertainment,15628
Underwater Peoples,1877
Eastern Conference,6493
Rat Pak,31666
Psycho+Logical-Records,18042
Chesky,31842
ZoÃ«,30392
Father/Daughter,11724
French Kiss / Pendu Sound,5603
Big Dada,5365
Luke Records,8273
Sub Pop / City Slang,7194
Ipecac,52
Self-released,254
"Mood Muzik, EMPIRE",18224
Revelation / Epic,4878
Black River,14614
"PIAS, Heavenly",16915
Memphis Industries / Kill Rock Stars,30153
Absolutely Kosher Records,22780
Volcano Entertainment,3386
Break World,12408
Hardly Art,1828
Planet Mu Records,11375
"Slaughter Gang, Epic",20685
Empire Distribution,8626
Capitol / EMI,255
"Parlophone, Capitol",253
Glass Air Records,7799
J / Allido,11335
Pendu Sound,14352
Star Trak,325
Terror Squad,6594
Silver Bow,20793
Rhymesayers,888
"BEP, Epic",28580
"YG, KT",8146
311,8045
Black Market Activities,3417
eOne / Nuclear Blast,9345
FOLLOWSPOT,15491
20 Buck Spin,13527
Single Lock,7941
Warner bros,8127
Sony Music Entertainment US Latin LLC,25917
Last Gang Records,74
Hometapes,794
RabbleRouser,32015
Rinse,1727
Jam Down Records,24570
Dead Oceans,12
YG,10293
Nelstar,18747
"Saint, Columbia",18351
Songs of the South,32020
Music For Nations / Metal Blade,5453
Axis,4849
Cooking Vinyl Records,10693
ISO / Columbia,3558
Epic Records / CBS Records,9654
Jet Records,9657
Blood Music,14245
BMG U.S. Latin,9859
Night Bloom,20452
Paradise of Bachelors,4256
"True North, A&M",22246
Orindal,9240
Vroom Vroom,16206
"Think It's a Game, Lucci",20024
Atlantic Records,4562
Mello,12618
Deaf Records,10740
Thrill Jockey Records,30500
"300, Quality Control",19066
Manimal Vinyl,3686
